"GACCDUDATE";"Echéances";
"GACCENTRY";"Ecritures comptables";
"GACCENTRYA";"Lignes analytiques comptables";
"GACCENTRYD";"Lignes de pièces comptables";
"GACCFIX";"Abonnements";
"GACCFIYENA";"Fichier temporaire à nouveau";
"GACCFIYEND";"Fichier temporaire à nouveau";
"GACCGRUPYM";"Groupes de comptes";
"GACCOUNT";"Comptes";
"GACCOUNTA";"Comptes (table additionnelle)";
"GACCPYM";"Pyramides comptes";
"GACCPYMLIK";"Liens pyramides comptes";
"GACCPYMPRT";"Impression pyramides";
"GACCTMP";"Ecritures comptables";
"GACCTMPA";"Lignes analytiques comptables";
"GACCTMPD";"Lignes de pièces comptables";
"GACM";"Modèle comptable";
"GAJOUSTA";"Journaux - états par période";
"GAPARBSE";"Codes reporting par défaut";
"GAPARDUM";"Déversement d'un compte";
"GAUTACE";"Pièces automatiques";
"GAUTACED";"Pièces automatiques (lignes)";
"GAUTACEF";"Formules pièces automatiques";
"GAUTACEL";"Législation pièce automatique";
"GAUTRCTMP";"Table temporaire tracabilité";
"GAUTRCVCR";"Tracabilité pièce automatique";
"GBAGSCR";"Ecrans de consultation Tiers";
"GCACCOA";"Transaction saisie code compta";
"GCCEGRUPYM";"Groupes pyramides analytiques";
"GCCEPYM";"Pyramides sections";
"GCCEPYMLIK";"Liens pyramides sections";
"GCCEPYMPRT";"Impression pyramides";
"GCLCACEPAR";"Ecritures calculées";
"GCOA";"Plan comptable";
"GCOMMIT";"Engagements";
"GCOMMITD";"Engagements détails";
"GCOMMITX";"Engagements (réf)";
"GDIAACC";"En-tête schémas comptes";
"GDIAACCD";"Lignes schémas comptes";
"GDIAENTRY";"Transactions de saisie";
"GDIAENTRYD";"Transactions saisie pièces";
"GDIE";"Axes";
"GDUDSCR";"Ecrans gestion échéances";
"GENTLOT";"Lots pièces comptables";
"GENTLOTA";"Lignes analytiques saisie lot";
"GENTLOTD";"Lignes générales saisie lot";
"GENTLOTH";"Entête pièces saisie par lot";
"GFSATT";"Attribut";
"GFSATTVAL";"Valeur attribut";
"GFSCALEXP";"Exception calendrier";
"GFSCUSFLDS";"Champs personnalisés";
"GFSCUSVALS";"Valeurs personnalisées";
"GFSITFATTV";"Attribut article-site";
"GFSITMATT";"Attribut article";
"GFSMRK";"Marqueur";
"GFSOBJ";"Objets";
"GFSOPTLIN";"Lignes matrice d'optimisation";
"GFSOPTMAT";"Matrice d'optimisation";
"GFSPIN";"Type punaisage opération";
"GFSSETEXC";"Exceptions temps réglage";
"GFSSETTIM";"Matrice temps réglage";
"GFSTAG";"Balise";
"GFUPSCR";"Ecrans gestion relances";
"GJOUCOA";"Journaux - Plan comptable";
"GJOURNAL";"Journaux comptables";
"GLCONSO";"Grand livre consolidation";
"GLED";"Référentiel";
"GRPACEMTC";"Lettrage groupe pièces";
"GRPAUTACE";"Groupe pièces automatiques";
"GRPCUR";"Groupes de devises";
"GRPDSP";"Groupes de répartitions";
"GRPSAC";"Groupes de collectif";
"GTABACC";"Ecrans de consultation";
"GTABACC2";"Consultations de comptes";
"GTABACC3";"Graphique du solde";
"GTEGRP";"Groupes de types de pièce";
"GTEGRPD";"Groupes de types de pièce";
"GTMPMTC";"Table temporaire de lettrage";
